id,home_team_abbr,away_team_abbr,date,is_night_game,home_team_win,home_pitcher,away_pitcher,home_team_rest,away_team_rest,home_pitcher_rest,away_pitcher_rest,season,home_batting_batting_avg_10RA,home_batting_onbase_perc_10RA,home_batting_onbase_plus_slugging_10RA,home_batting_leverage_index_avg_10RA,home_batting_RBI_10RA,away_batting_batting_avg_10RA,away_batting_onbase_perc_10RA,away_batting_onbase_plus_slugging_10RA,away_batting_leverage_index_avg_10RA,away_batting_RBI_10RA,home_pitching_earned_run_avg_10RA,home_pitching_SO_batters_faced_10RA,home_pitching_H_batters_faced_10RA,home_pitching_BB_batters_faced_10RA,away_pitching_earned_run_avg_10RA,away_pitching_SO_batters_faced_10RA,away_pitching_H_batters_faced_10RA,away_pitching_BB_batters_faced_10RA,home_pitcher_earned_run_avg_10RA,home_pitcher_SO_batters_faced_10RA,home_pitcher_H_batters_faced_10RA,home_pitcher_BB_batters_faced_10RA,away_pitcher_earned_run_avg_10RA,away_pitcher_SO_batters_faced_10RA,away_pitcher_H_batters_faced_10RA,away_pitcher_BB_batters_faced_10RA,home_team_season,away_team_season,home_team_errors_mean,home_team_errors_std,home_team_errors_skew,away_team_errors_mean,away_team_errors_std,away_team_errors_skew,home_team_spread_mean,home_team_spread_std,home_team_spread_skew,away_team_spread_mean,away_team_spread_std,away_team_spread_skew,home_team_wins_mean,home_team_wins_std,home_team_wins_skew,away_team_wins_mean,away_team_wins_std,away_team_wins_skew,home_batting_batting_avg_mean,home_batting_batting_avg_std,home_batting_batting_avg_skew,home_batting_onbase_perc_mean,home_batting_onbase_perc_std,home_batting_onbase_perc_skew,home_batting_onbase_plus_slugging_mean,home_batting_onbase_plus_slugging_std,home_batting_onbase_plus_slugging_skew,home_batting_leverage_index_avg_mean,home_batting_leverage_index_avg_std,home_batting_leverage_index_avg_skew,home_batting_wpa_bat_mean,home_batting_wpa_bat_std,home_batting_wpa_bat_skew,home_batting_RBI_mean,home_batting_RBI_std,home_batting_RBI_skew,away_batting_batting_avg_mean,away_batting_batting_avg_std,away_batting_batting_avg_skew,away_batting_onbase_perc_mean,away_batting_onbase_perc_std,away_batting_onbase_perc_skew,away_batting_onbase_plus_slugging_mean,away_batting_onbase_plus_slugging_std,away_batting_onbase_plus_slugging_skew,away_batting_leverage_index_avg_mean,away_batting_leverage_index_avg_std,away_batting_leverage_index_avg_skew,away_batting_wpa_bat_mean,away_batting_wpa_bat_std,away_batting_wpa_bat_skew,away_batting_RBI_mean,away_batting_RBI_std,away_batting_RBI_skew,home_pitching_earned_run_avg_mean,home_pitching_earned_run_avg_std,home_pitching_earned_run_avg_skew,home_pitching_SO_batters_faced_mean,home_pitching_SO_batters_faced_std,home_pitching_SO_batters_faced_skew,home_pitching_H_batters_faced_mean,home_pitching_H_batters_faced_std,home_pitching_H_batters_faced_skew,home_pitching_BB_batters_faced_mean,home_pitching_BB_batters_faced_std,home_pitching_BB_batters_faced_skew,home_pitching_leverage_index_avg_mean,home_pitching_leverage_index_avg_std,home_pitching_leverage_index_avg_skew,home_pitching_wpa_def_mean,home_pitching_wpa_def_std,home_pitching_wpa_def_skew,away_pitching_earned_run_avg_mean,away_pitching_earned_run_avg_std,away_pitching_earned_run_avg_skew,away_pitching_SO_batters_faced_mean,away_pitching_SO_batters_faced_std,away_pitching_SO_batters_faced_skew,away_pitching_H_batters_faced_mean,away_pitching_H_batters_faced_std,away_pitching_H_batters_faced_skew,away_pitching_BB_batters_faced_mean,away_pitching_BB_batters_faced_std,away_pitching_BB_batters_faced_skew,away_pitching_leverage_index_avg_mean,away_pitching_leverage_index_avg_std,away_pitching_leverage_index_avg_skew,away_pitching_wpa_def_mean,away_pitching_wpa_def_std,away_pitching_wpa_def_skew,home_pitcher_earned_run_avg_mean,home_pitcher_earned_run_avg_std,home_pitcher_earned_run_avg_skew,home_pitcher_SO_batters_faced_mean,home_pitcher_SO_batters_faced_std,home_pitcher_SO_batters_faced_skew,home_pitcher_H_batters_faced_mean,home_pitcher_H_batters_faced_std,home_pitcher_H_batters_faced_skew,home_pitcher_BB_batters_faced_mean,home_pitcher_BB_batters_faced_std,home_pitcher_BB_batters_faced_skew,home_pitcher_leverage_index_avg_mean,home_pitcher_leverage_index_avg_std,home_pitcher_leverage_index_avg_skew,home_pitcher_wpa_def_mean,home_pitcher_wpa_def_std,home_pitcher_wpa_def_skew,away_pitcher_earned_run_avg_mean,away_pitcher_earned_run_avg_std,away_pitcher_earned_run_avg_skew,away_pitcher_SO_batters_faced_mean,away_pitcher_SO_batters_faced_std,away_pitcher_SO_batters_faced_skew,away_pitcher_H_batters_faced_mean,away_pitcher_H_batters_faced_std,away_pitcher_H_batters_faced_skew,away_pitcher_BB_batters_faced_mean,away_pitcher_BB_batters_faced_std,away_pitcher_BB_batters_faced_skew,away_pitcher_leverage_index_avg_mean,away_pitcher_leverage_index_avg_std,away_pitcher_leverage_index_avg_skew,away_pitcher_wpa_def_mean,away_pitcher_wpa_def_std,away_pitcher_wpa_def_skew
152,DPS,FBW,2017/4/4,TRUE,FALSE,couloda01,detmere01,1,1,,,2017,-0.250177183,-0.441665921,2.355236998,-1.348771733,0.592584311,0.743827909,1.239582066,1.881899281,3.046308973,2.365623694,3.03514703,-3.568038248,0.273453896,2.328361614,0.604412049,2.677714086,-0.009800375,-0.03969542,,,,,,,,,TEX_2017,CLE_2017,2.692677538,-4.94663563,,-3.517354098,-5.014323913,,-2.772054341,-6.174300636,,2.707292775,-6.204926518,,-4.381710582,-8.552904766,,4.324645264,-8.468543056,,-0.304071465,,,-0.691756923,,,3.744280197,,,-2.404758089,,,,,,1.015374608,,,1.346101605,,,2.056807099,,,3.105265044,,,5.548196874,,,6.636205914,,,3.888648585,,,5.006533497,,,-4.863899446,,,0.610451938,,,3.330096336,,,5.522007636,,,-6.477293398,,,0.959425114,,,3.655906204,,,0.092634804,,,-0.208984476,,,-2.410582323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,QDH,VJV,2017/4/4,TRUE,FALSE,livelbe01,oviedjo01,1,1,,,2017,1.335788256,2.192588631,2.659172614,-0.451264582,-0.2949634,-0.840091631,-0.187671859,-0.789140153,1.534199323,-2.065656906,-1.923567399,2.23690158,-0.880234574,,0.194144254,-1.805815613,1.006724736,2.928156731,,,,,,,,,OAK_2017,LAA_2017,-3.495306739,-4.94663563,,-3.517354098,-5.014323913,,1.826964762,-6.174300636,,-1.819792623,-6.204926518,,4.364128398,-8.552904766,,,-8.468543056,,2.209187454,,,3.481647909,,,4.21620468,,,-0.843575023,,,1.707601133,,,-0.395399958,,,-1.198745227,,,-0.224975319,,,-1.091676124,,,2.784766342,,,-5.024690932,,,-3.246997307,,,,,,2.970654132,,,-1.223150816,,,2.212405619,,,2.766385496,,,4.90606407,,,0.327806275,,,-2.477492693,,,1.675665498,,,4.094126617,,,-0.840354873,,,-1.671609078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3265,XFB,QPO,2017/4/4,TRUE,FALSE,iveyty01,felizmi01,2,2,,,2017,3.438916338,1.02180883,1.501879304,6.314558555,1.480132022,2.775376885,2.537085635,3.380004007,0.640679984,0.593111454,0.555789816,-1.570557305,1.908059067,2.162424201,1.613670822,2.441738838,4.725066587,-4.491473647,,,,,,,,,ARI_2017,SFG_2017,-3.495306739,,,-3.517354098,-5.014323913,,0.907160942,-6.174300636,,-0.914375543,-6.204926518,,4.364128398,-8.552904766,,-4.34797295,-8.468543056,,5.541987324,,,,,,2.419261454,,,10.92534348,,,,,,2.426149173,,,4.610144281,,,,,,5.459201613,,,1.151830119,,,5.08865965,,,1.034390228,,,1.013668183,,,-2.168028011,,,3.208394642,,,3.084749593,,,1.138063322,,,-4.993083809,,,2.51320746,,,3.333095736,,,7.466225141,,,-6.663651114,,,10.99674436,,,-11.09338687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4146,JEM,YHA,2017/4/4,TRUE,FALSE,castehu01,kiliaca01,1,1,,,2017,5.059359287,5.412233084,,-3.627059116,6.805418289,-3.147104874,-5.183060596,-3.402113511,-4.514239277,-1.179400786,-1.923567399,1.309822738,,-4.475072303,9.425169625,-3.147477909,3.825271633,1.747760989,,,,,,,,,LAD_2017,SDP_2017,2.692677538,-4.94663563,,-3.517354098,-5.014323913,,10.10519915,,,-9.968546339,-6.204926518,,4.364128398,-8.552904766,,-4.34797295,-8.468543056,,8.109882306,,,8.582476036,,,10.9320531,,,-6.367761257,,,5.795785118,,,10.89079656,,,-4.90536996,,,-8.211213779,,,-5.197379442,,,-8.268955784,,,-0.802876125,,,,,,,,,1.719435502,,,-3.799286916,,,-6.729120117,,,-8.256103064,,,0.744976474,,,14.53923017,,,-4.312865848,,,6.064977876,,,2.382661978,,,-6.39654431,,,-5.617373736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4932,RAV,GKO,2017/4/4,TRUE,FALSE,kerrra01,parkebl01,1,1,,,2017,-0.560474769,1.86737202,0.110789365,5.900324485,0.592584311,1.74238588,,1.21994603,1.121805782,1.479367574,0.555789816,-0.286063502,1.982726985,-1.533046825,0.604412049,3.635733252,-1.391231935,3.955490168,,,,,,,,,MIL_2017,COL_2017,15.06864609,,,-3.517354098,-5.014323913,,-1.85225052,-6.174300636,,1.801875696,-6.204926518,,-4.381710582,-8.552904766,,4.324645264,-8.468543056,,-0.795796036,,,2.966412744,,,0.259299394,,,10.20479745,,,,,,1.015374608,,,2.950461564,,,2.10866579,,,2.065153537,,,2.03110347,,,6.120357159,,,2.461519406,,,1.013668183,,,-0.434429417,,,3.327067319,,,-2.379188678,,,2.014852185,,,-5.973722287,,,0.959425114,,,4.966461524,,,-2.058663318,,,5.583665072,,,10.272024,,,0.604793609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5454,HXK,RKN,2017/4/4,TRUE,TRUE,lewisco01,rouppla01,1,1,,,2017,-0.698384807,-2.262878945,,-2.384356907,,-4.834323514,-2.490740692,-4.38923678,0.503215471,-3.838169146,-3.576472208,0.252701162,-4.890381661,1.928159619,-0.724855605,-0.759658683,-0.619715441,,,,,,,,,,HOU_2017,SEA_2017,-3.495306739,-4.94663563,,2.688560998,-5.014323913,,2.746768583,-6.174300636,,-2.725209702,-6.204926518,,4.364128398,,,-4.34797295,-8.468543056,,-1.01434029,,,-3.577073844,,,-0.412285448,,,-4.206123165,,,0.70188175,,,-1.806174523,,,-7.616185063,,,-3.906942401,,,-6.748422917,,,0.900609161,,,-6.069963408,,,-6.101255663,,,-5.64110734,,,0.292706566,,,-7.596636323,,,2.738377721,,,0.887552219,,,5.89995442,,,-1.087019927,,,-1.046366283,,,-0.857183612,,,-4.01006594,,,,,,-0.710461277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7297,BPH,MOO,2017/4/4,TRUE,FALSE,merriry01,danieda01,2,2,,,2017,2.473546071,3.948758333,2.051301381,2.931646986,-0.2949634,-0.289163095,-1.095924356,-0.998178021,4.558418623,-1.179400786,-1.097114994,3.021352908,,-4.475072303,-0.093043202,-1.262357467,1.260856014,,,,,,,,,,STL_2017,CHC_2017,-3.495306739,-4.94663563,,-3.517354098,,,0.907160942,-6.174300636,,-0.914375543,-6.204926518,,4.364128398,-8.552904766,,-4.34797295,-8.468543056,,4.012177548,,,6.263917796,,,3.272355713,,,5.040884226,,,3.405568923,,,-0.395399958,,,-0.313581111,,,-1.677018675,,,-1.42013239,,,8.311627405,,,-3.27352016,,,-1.819868129,,,-1.648242026,,,4.029377588,,,0.443760778,,,-6.729120117,,,8.277629776,,,3.156817055,,,-0.114326913,,,-1.734050402,,,2.071423172,,,7.810449833,,,5.078194744,,,-3.303031004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9917,PJT,GLO,2017/4/4,TRUE,FALSE,johnser04,briesbe01,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,CHW_2017,DET_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10559,KFH,UPV,2017/4/4,TRUE,FALSE,adamsau02,leakemi01,2,2,,,2017,4.093989019,2.908065176,3.150145534,-3.903215163,1.480132022,0.227332407,-0.966173999,-1.822716281,-2.246074802,-1.179400786,-1.923567399,-0.599191683,0.491283187,-3.079496115,2.967554544,0.622762974,4.081713195,-0.373578787,,,,,,,,,TBR_2017,NYY_2017,2.692677538,-4.94663563,,2.688560998,-5.014323913,,3.666572404,-6.174300636,,-3.630626782,-6.204926518,,4.364128398,,,-4.34797295,-8.468543056,,6.58007253,,,4.61516527,,,4.978544231,,,-6.848125277,,,5.782723828,,,2.426149173,,,0.516260247,,,,,,-2.715709881,,,-4.123809987,,,-0.762151223,,,-1.819868129,,,-2.979197131,,,-0.857038365,,,0.956656653,,,-4.665691101,,,-4.122669854,,,0.731724603,,,4.597549632,,,0.844765043,,,6.464333347,,,-0.693084473,,,-6.879691217,,,-5.642667099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,QDH,VJV,2017/4/5,TRUE,FALSE,wilsoty01,duffyda01,1,1,,,2017,1.059968179,1.31450378,2.320167503,0.446242568,0.148810455,-0.048131861,0.104266444,-0.283965303,1.80912835,0.149983394,0.142563613,0.593794068,0.041015433,0.019688843,0.809545946,-0.684933188,1.006724736,1.444230656,,,,,,,,,OAK_2017,LAA_2017,-3.495306739,-4.94663563,,-0.41439655,-1.693654423,-2.938427055,0.447259031,-3.988247378,0.00326703,-0.461667003,-4.008700877,0.00712294,-0.008791092,0.293131059,0.006446132,-0.011663843,0.295556132,0.007896732,1.772098946,-6.546178648,,2.090512965,-4.174444382,,3.689827372,-6.097384097,,0.717608043,-4.40963493,,2.772096324,-5.19833876,,0.309987325,-4.568691851,,0.073678189,-4.486554925,,0.241752903,-6.670676344,,-0.297906816,-5.467479214,,3.287208257,-6.754857122,,2.875939993,10.35157143,,0.320825639,1.04398718,,0.348190631,0.764436243,,0.753057703,0.294029352,,0.241028287,-3.963645771,,-0.083391529,-1.079978408,,3.267407703,-6.81880793,,,10.3027932,,1.275234534,-3.822934383,,-0.944142969,-1.824964881,,1.675665498,-7.809500727,,1.942571071,-1.379006826,,,-4.538298234,,-2.702313628,-5.173140209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
