id,home_team_abbr,away_team_abbr,date,is_night_game,,home_team_win,home_pitcher,away_pitcher,home_team_rest,away_team_rest,home_pitcher_rest,away_pitcher_rest,season,home_batting_batting_avg_10RA,home_batting_onbase_perc_10RA,home_batting_onbase_plus_slugging_10RA,home_batting_leverage_index_avg_10RA,home_batting_RBI_10RA,away_batting_batting_avg_10RA,away_batting_onbase_perc_10RA,away_batting_onbase_plus_slugging_10RA,away_batting_leverage_index_avg_10RA,away_batting_RBI_10RA,home_pitching_earned_run_avg_10RA,home_pitching_SO_batters_faced_10RA,home_pitching_H_batters_faced_10RA,home_pitching_BB_batters_faced_10RA,away_pitching_earned_run_avg_10RA,away_pitching_SO_batters_faced_10RA,away_pitching_H_batters_faced_10RA,away_pitching_BB_batters_faced_10RA,home_pitcher_earned_run_avg_10RA,home_pitcher_SO_batters_faced_10RA,home_pitcher_H_batters_faced_10RA,home_pitcher_BB_batters_faced_10RA,away_pitcher_earned_run_avg_10RA,away_pitcher_SO_batters_faced_10RA,away_pitcher_H_batters_faced_10RA,away_pitcher_BB_batters_faced_10RA,home_team_season,away_team_season,home_team_errors_mean,home_team_errors_std,home_team_errors_skew,away_team_errors_mean,away_team_errors_std,away_team_errors_skew,home_team_spread_mean,home_team_spread_std,home_team_spread_skew,away_team_spread_mean,away_team_spread_std,away_team_spread_skew,home_team_wins_mean,home_team_wins_std,home_team_wins_skew,away_team_wins_mean,away_team_wins_std,away_team_wins_skew,home_batting_batting_avg_mean,home_batting_batting_avg_std,home_batting_batting_avg_skew,home_batting_onbase_perc_mean,home_batting_onbase_perc_std,home_batting_onbase_perc_skew,home_batting_onbase_plus_slugging_mean,home_batting_onbase_plus_slugging_std,home_batting_onbase_plus_slugging_skew,home_batting_leverage_index_avg_mean,home_batting_leverage_index_avg_std,home_batting_leverage_index_avg_skew,home_batting_wpa_bat_mean,home_batting_wpa_bat_std,home_batting_wpa_bat_skew,home_batting_RBI_mean,home_batting_RBI_std,home_batting_RBI_skew,away_batting_batting_avg_mean,away_batting_batting_avg_std,away_batting_batting_avg_skew,away_batting_onbase_perc_mean,away_batting_onbase_perc_std,away_batting_onbase_perc_skew,away_batting_onbase_plus_slugging_mean,away_batting_onbase_plus_slugging_std,away_batting_onbase_plus_slugging_skew,away_batting_leverage_index_avg_mean,away_batting_leverage_index_avg_std,away_batting_leverage_index_avg_skew,away_batting_wpa_bat_mean,away_batting_wpa_bat_std,away_batting_wpa_bat_skew,away_batting_RBI_mean,away_batting_RBI_std,away_batting_RBI_skew,home_pitching_earned_run_avg_mean,home_pitching_earned_run_avg_std,home_pitching_earned_run_avg_skew,home_pitching_SO_batters_faced_mean,home_pitching_SO_batters_faced_std,home_pitching_SO_batters_faced_skew,home_pitching_H_batters_faced_mean,home_pitching_H_batters_faced_std,home_pitching_H_batters_faced_skew,home_pitching_BB_batters_faced_mean,home_pitching_BB_batters_faced_std,home_pitching_BB_batters_faced_skew,home_pitching_leverage_index_avg_mean,home_pitching_leverage_index_avg_std,home_pitching_leverage_index_avg_skew,home_pitching_wpa_def_mean,home_pitching_wpa_def_std,home_pitching_wpa_def_skew,away_pitching_earned_run_avg_mean,away_pitching_earned_run_avg_std,away_pitching_earned_run_avg_skew,away_pitching_SO_batters_faced_mean,away_pitching_SO_batters_faced_std,away_pitching_SO_batters_faced_skew,away_pitching_H_batters_faced_mean,away_pitching_H_batters_faced_std,away_pitching_H_batters_faced_skew,away_pitching_BB_batters_faced_mean,away_pitching_BB_batters_faced_std,away_pitching_BB_batters_faced_skew,away_pitching_leverage_index_avg_mean,away_pitching_leverage_index_avg_std,away_pitching_leverage_index_avg_skew,away_pitching_wpa_def_mean,away_pitching_wpa_def_std,away_pitching_wpa_def_skew,home_pitcher_earned_run_avg_mean,home_pitcher_earned_run_avg_std,home_pitcher_earned_run_avg_skew,home_pitcher_SO_batters_faced_mean,home_pitcher_SO_batters_faced_std,home_pitcher_SO_batters_faced_skew,home_pitcher_H_batters_faced_mean,home_pitcher_H_batters_faced_std,home_pitcher_H_batters_faced_skew,home_pitcher_BB_batters_faced_mean,home_pitcher_BB_batters_faced_std,home_pitcher_BB_batters_faced_skew,home_pitcher_leverage_index_avg_mean,home_pitcher_leverage_index_avg_std,home_pitcher_leverage_index_avg_skew,home_pitcher_wpa_def_mean,home_pitcher_wpa_def_std,home_pitcher_wpa_def_skew,away_pitcher_earned_run_avg_mean,away_pitcher_earned_run_avg_std,away_pitcher_earned_run_avg_skew,away_pitcher_SO_batters_faced_mean,away_pitcher_SO_batters_faced_std,away_pitcher_SO_batters_faced_skew,away_pitcher_H_batters_faced_mean,away_pitcher_H_batters_faced_std,away_pitcher_H_batters_faced_skew,away_pitcher_BB_batters_faced_mean,away_pitcher_BB_batters_faced_std,away_pitcher_BB_batters_faced_skew,away_pitcher_leverage_index_avg_mean,away_pitcher_leverage_index_avg_std,away_pitcher_leverage_index_avg_skew,away_pitcher_wpa_def_mean,away_pitcher_wpa_def_std,away_pitcher_wpa_def_skew
4870,DPS,HXK,2018/3/30,TRUE,TRUE,1,millesh01,effrosc01,1,1,,,2018,-1.663755075,-1.482359078,-2.601251524,-0.658381617,-3.845154245,-1.494319267,0.396204747,0.859936367,,-0.293144666,-0.270662589,3.530186202,-2.099119198,4.35100413,-2.677730306,1.029357579,-1.504690243,-1.261752188,,,,,,,,,TEX_2018,HOU_2018,-3.495306739,-4.94663563,,-3.517354098,-5.014323913,,-2.772054341,,,2.707292775,-6.204926518,,-4.381710582,-8.552904766,,4.324645264,-8.468543056,,-2.544150066,,,-2.340509449,,,-3.951719076,,,-1.203848038,,,-5.802641012,,,-6.038498219,,,-2.249877614,,,0.708481125,,,1.499478858,,,-3.998199508,,,0.758245106,,,-0.39273895,,,-0.317286922,,,4.716117128,,,-3.160372398,,,6.320674201,,,-3.997414302,,,-0.725981243,,,,,,1.400980139,,,-2.23535151,,,-1.980853749,,,-1.202715054,,,5.612879521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5591,QDH,VJV,2018/3/30,TRUE,FALSE,0,livelbe01,hernajo02,1,1,,,2018,1.508175804,1.672242053,1.735675932,4.38146623,,1.363622512,-0.447172572,1.696087842,2.084057377,0.593111454,-0.196281873,-2.186068674,2.221558411,-3.317040998,0.793135234,0.181564573,1.460916807,,,,,,,,,,OAK_2018,LAA_2018,-3.495306739,-4.94663563,,-3.517354098,-5.014323913,,0.907160942,-6.174300636,,-0.914375543,-6.204926518,,4.364128398,-8.552904766,,-4.34797295,-8.468543056,,2.482367771,,,,,,2.782280288,,,7.562795333,,,3.052914074,,,2.426149173,,,2.341911235,,,-0.639844849,,,2.81330392,,,3.789650172,,,,,,1.034390228,,,-0.197500962,,,-2.99874408,,,3.706651558,,,-5.016913061,,,3.76842991,,,3.514617581,,,,,,0.241212492,,,2.382977085,,,1.805237738,,,7.614716008,,,-2.974217282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5595,JEM,QPO,2018/3/30,TRUE,FALSE,0,scholje01,felizmi01,1,1,,,2018,-1.663755075,-0.148970971,-2.507732872,5.831285474,-3.845154245,-0.289163095,-1.095924356,-0.661394788,0.571947727,-2.951913026,,2.23690158,0.168573126,,,1.390775006,-1.873429744,3.134257575,,,,,,,,,LAD_2018,,-3.495306739,-4.94663563,,-3.517354098,-5.014323913,,-0.9324467,-6.174300636,,0.896458616,-6.204926518,,-4.381710582,-8.552904766,,4.324645264,-8.468543056,,,,,-0.228045275,,,-3.806511542,,,10.08470644,,,-10.25654114,,,-6.038498219,,,-0.313581111,,,-1.677018675,,,-0.890952851,,,1.02621964,,,-3.85724375,,,-4.674126485,,,-4.310152235,,,2.970654132,,,0.443760778,,,-2.258357249,,,1.01280777,,,3.739899394,,,-5.356763284,,,1.895393558,,,-2.809588134,,,4.392953776,,,10.15123727,,,9.8874579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6761,XFB,GKO,2018/3/30,TRUE,TRUE,1,mazurad01,parkebl01,1,1,,,2018,3.128618752,3.851193349,1.864264078,-1.003576675,3.255227444,1.019292177,0.071828855,0.604445639,-0.665232895,-2.065656906,-1.923567399,3.021352908,,-1.451323895,3.886554403,0.951910987,2.604121338,3.35213561,,,,,,,,,ARI_2018,COL_2018,,-4.94663563,,-3.517354098,-5.014323913,,5.506180045,-6.174300636,,-5.441460941,-6.204926518,,4.364128398,-8.552904766,,,-8.468543056,,5.050262753,,,6.109347247,,,2.981940646,,,-1.804303063,,,4.620268957,,,5.247698303,,,1.788683663,,,0.189894212,,,1.098032311,,,-1.234768977,,,-1.997473241,,,-3.246997307,,,-2.979197131,,,4.029377588,,,2.110672372,,,-2.258357249,,,,,,1.924393022,,,6.012375833,,,1.295034407,,,4.16328516,,,4.708856773,,,-1.806648688,,,-4.479172392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7204,SAJ,UPV,2018/3/30,TRUE,FALSE,0,,dicker.01,1,1,,,2018,-5.973443767,-5.027220142,-4.495004213,-2.108200861,-2.957606534,1.570220713,0.428642336,2.787730045,-3.620719939,1.479367574,0.555789816,-0.038007271,2.161307755,-1.753698736,-2.677730306,4.078817116,-5.79128694,0.655894928,,,,,,,,,TOR_2018,NYY_2018,8.880661814,-4.94663563,,,-5.014323913,,-4.611661982,-6.174300636,,4.518126934,-6.204926518,,-4.381710582,-8.552904766,,4.324645264,-8.468543056,,-9.373657997,,,-7.956572742,,,-6.892171628,,,-3.725759145,,,-4.065489351,,,-4.627723653,,,2.673847778,,,0.760339816,,,4.528575528,,,-6.636019561,,,2.550140779,,,2.461519406,,,1.013668183,,,-0.099643892,,,3.610892807,,,-2.705433536,,,-6.62778089,,,-2.514983872,,,,,,,,,-8.910852266,,,0.799557187,,,-3.739236318,,,3.930870869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7676,GLO,VQC,2018/3/30,TRUE,FALSE,0,senzaan01,gonzagi01,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,DET_2018,PIT_2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8393,PDF,MZG,2018/3/30,TRUE,FALSE,0,garream01,feldmsc01,1,1,,,2018,0.784148103,1.57467707,2.390306492,3.552998091,2.367679733,-1.700917467,0.980081353,-0.231705836,-0.940161923,0.593111454,0.555789816,1.782745548,-2.260244705,4.118738961,2.467027835,,0.320570286,,,,,,,,,,ATL_2018,PHI_2018,-3.495306739,-4.94663563,,2.688560998,-5.014323913,,,-6.174300636,,-2.725209702,-6.204926518,,4.364128398,-8.552904766,,-4.34797295,-8.468543056,,1.335010439,,,2.502701096,,,,,,6.121703272,,,6.461910944,,,3.836923738,,,-2.581814157,,,1.641937568,,,-0.21579275,,,-1.737210892,,,-0.056252928,,,1.034390228,,,1.013668183,,,2.357708973,,,-3.416455545,,,5.977258561,,,-1.742814369,,,0.055879165,,,3.826974647,,,-2.93749761,,,0.60711978,,,1.297104407,,,6.165275286,,,-6.275001179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9106,KFH,RLJ,2018/3/30,TRUE,FALSE,0,waldike01,willibr02,1,1,,,2018,-3.422108061,0.111202318,-1.74789383,1.965100824,1.480132022,-0.048131861,-0.836423643,0.267662406,-3.002129627,-0.293144666,-0.270662589,-1.55087769,0.4083006,-1.364931084,2.040349328,2.400162247,-3.84355222,6.489579313,,,,,,,,,TBR_2018,BOS_2018,-3.495306739,-4.94663563,,-3.517354098,-5.014323913,,1.826964762,-6.174300636,,-1.819792623,-6.204926518,,,-8.552904766,,-4.34797295,-8.468543056,,-5.330589302,,,0.184142856,,,-2.626700333,,,3.359610155,,,7.428446454,,,2.426149173,,,0.073678189,,,-1.262149145,,,0.568852773,,,-5.505525253,,,0.948294647,,,-0.39273895,,,-0.317286922,,,-2.141467701,,,0.824769143,,,-2.130621167,,,-5.500480924,,,-0.951263055,,,3.170091054,,,3.276219606,,,-5.877652384,,,9.257859927,,,3.387180567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9326,YHA,RAV,2018/3/30,TRUE,FALSE,0,,schulja02,1,1,,,2018,-3.042855456,-1.417315755,-3.419539723,7.764377799,-2.957606534,-0.185863994,-0.739110875,-1.648518057,1.877860607,-2.065656906,-2.336793601,-0.744013467,0.168573126,,-2.882864203,2.926799069,,2.829228326,,,,,,,,,SDP_2018,MIL_2018,-3.495306739,-4.94663563,,2.688560998,-5.014323913,,-0.9324467,-6.174300636,,0.896458616,-6.204926518,,-4.381710582,-8.552904766,,4.324645264,-8.468543056,,-4.729592604,,,-2.237462417,,,-5.222284993,,,13.44725458,,,-9.276944335,,,-4.627723653,,,-0.14761284,,,-1.106573071,,,-2.441996327,,,3.412818735,,,-2.866271143,,,-3.246997307,,,-3.644674683,,,-1.052495003,,,0.443760778,,,-3.152509823,,,3.392663255,,,2.772512787,,,-4.409335024,,,,,,-4.761992657,,,3.95068958,,,13.53326563,,,8.964250144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,STC,ZQF,2018/3/31,TRUE,FALSE,0,diazmi02,rucindr01,2,2,,,2018,-3.284198023,-1.775054028,-1.560856527,3.96723216,-1.182511111,-1.494319267,-1.809551319,-3.030490634,5.03954442,,-2.221090264,0.832186411,-1.197315971,-0.677806861,-1.282819805,2.696395459,-3.440572622,2.371684453,,,,,,,,,BAL_2018,MIN_2018,,-4.94663563,,-3.517354098,-5.014323913,,,-6.174300636,,-0.914375543,-6.204926518,,,-8.552904766,,-4.34797295,-8.468543056,,-5.112045048,,,-2.804221097,,,-2.336285266,,,6.842249303,,,0.192491413,,,-1.806174523,,,-2.249877614,,,-2.817909884,,,-4.613457192,,,9.190900756,,,,,,-3.246997307,,,-3.458340968,,,1.074800501,,,-1.727100833,,,-1.114673725,,,9.154418638,,,6.443281144,,,-1.946021549,,,3.681462033,,,-5.250093787,,,3.287293287,,,6.889995647,,,-0.204594013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
