id,home_team_abbr,away_team_abbr,date,is_night_game,home_team_win,home_pitcher,away_pitcher,home_team_rest,away_team_rest,home_pitcher_rest,away_pitcher_rest,season2,season,home_batting_batting_avg_10RA,home_batting_onbase_perc_10RA,home_batting_onbase_plus_slugging_10RA,home_batting_leverage_index_avg_10RA,home_batting_RBI_10RA,away_batting_batting_avg_10RA,away_batting_onbase_perc_10RA,away_batting_onbase_plus_slugging_10RA,away_batting_leverage_index_avg_10RA,away_batting_RBI_10RA,home_pitching_earned_run_avg_10RA,home_pitching_SO_batters_faced_10RA,home_pitching_H_batters_faced_10RA,home_pitching_BB_batters_faced_10RA,away_pitching_earned_run_avg_10RA,away_pitching_SO_batters_faced_10RA,away_pitching_H_batters_faced_10RA,away_pitching_BB_batters_faced_10RA,home_pitcher_earned_run_avg_10RA,home_pitcher_SO_batters_faced_10RA,home_pitcher_H_batters_faced_10RA,home_pitcher_BB_batters_faced_10RA,away_pitcher_earned_run_avg_10RA,away_pitcher_SO_batters_faced_10RA,away_pitcher_H_batters_faced_10RA,away_pitcher_BB_batters_faced_10RA,home_team_season,away_team_season,home_team_errors_mean,home_team_errors_std,home_team_errors_skew,away_team_errors_mean,away_team_errors_std,away_team_errors_skew,home_team_spread_mean,home_team_spread_std,home_team_spread_skew,away_team_spread_mean,away_team_spread_std,away_team_spread_skew,home_team_wins_mean,home_team_wins_std,home_team_wins_skew,away_team_wins_mean,away_team_wins_std,away_team_wins_skew,home_batting_batting_avg_mean,home_batting_batting_avg_std,home_batting_batting_avg_skew,home_batting_onbase_perc_mean,home_batting_onbase_perc_std,home_batting_onbase_perc_skew,home_batting_onbase_plus_slugging_mean,home_batting_onbase_plus_slugging_std,home_batting_onbase_plus_slugging_skew,home_batting_leverage_index_avg_mean,home_batting_leverage_index_avg_std,home_batting_leverage_index_avg_skew,home_batting_wpa_bat_mean,home_batting_wpa_bat_std,home_batting_wpa_bat_skew,home_batting_RBI_mean,home_batting_RBI_std,home_batting_RBI_skew,away_batting_batting_avg_mean,away_batting_batting_avg_std,away_batting_batting_avg_skew,away_batting_onbase_perc_mean,away_batting_onbase_perc_std,away_batting_onbase_perc_skew,away_batting_onbase_plus_slugging_mean,away_batting_onbase_plus_slugging_std,away_batting_onbase_plus_slugging_skew,away_batting_leverage_index_avg_mean,away_batting_leverage_index_avg_std,away_batting_leverage_index_avg_skew,away_batting_wpa_bat_mean,away_batting_wpa_bat_std,away_batting_wpa_bat_skew,away_batting_RBI_mean,away_batting_RBI_std,away_batting_RBI_skew,home_pitching_earned_run_avg_mean,home_pitching_earned_run_avg_std,home_pitching_earned_run_avg_skew,home_pitching_SO_batters_faced_mean,home_pitching_SO_batters_faced_std,home_pitching_SO_batters_faced_skew,home_pitching_H_batters_faced_mean,home_pitching_H_batters_faced_std,home_pitching_H_batters_faced_skew,home_pitching_BB_batters_faced_mean,home_pitching_BB_batters_faced_std,home_pitching_BB_batters_faced_skew,home_pitching_leverage_index_avg_mean,home_pitching_leverage_index_avg_std,home_pitching_leverage_index_avg_skew,home_pitching_wpa_def_mean,home_pitching_wpa_def_std,home_pitching_wpa_def_skew,away_pitching_earned_run_avg_mean,away_pitching_earned_run_avg_std,away_pitching_earned_run_avg_skew,away_pitching_SO_batters_faced_mean,away_pitching_SO_batters_faced_std,away_pitching_SO_batters_faced_skew,away_pitching_H_batters_faced_mean,away_pitching_H_batters_faced_std,away_pitching_H_batters_faced_skew,away_pitching_BB_batters_faced_mean,away_pitching_BB_batters_faced_std,away_pitching_BB_batters_faced_skew,away_pitching_leverage_index_avg_mean,away_pitching_leverage_index_avg_std,away_pitching_leverage_index_avg_skew,away_pitching_wpa_def_mean,away_pitching_wpa_def_std,away_pitching_wpa_def_skew,home_pitcher_earned_run_avg_mean,home_pitcher_earned_run_avg_std,home_pitcher_earned_run_avg_skew,home_pitcher_SO_batters_faced_mean,home_pitcher_SO_batters_faced_std,home_pitcher_SO_batters_faced_skew,home_pitcher_H_batters_faced_mean,home_pitcher_H_batters_faced_std,home_pitcher_H_batters_faced_skew,home_pitcher_BB_batters_faced_mean,home_pitcher_BB_batters_faced_std,home_pitcher_BB_batters_faced_skew,home_pitcher_leverage_index_avg_mean,home_pitcher_leverage_index_avg_std,home_pitcher_leverage_index_avg_skew,home_pitcher_wpa_def_mean,home_pitcher_wpa_def_std,home_pitcher_wpa_def_skew,away_pitcher_earned_run_avg_mean,away_pitcher_earned_run_avg_std,away_pitcher_earned_run_avg_skew,away_pitcher_SO_batters_faced_mean,away_pitcher_SO_batters_faced_std,away_pitcher_SO_batters_faced_skew,away_pitcher_H_batters_faced_mean,away_pitcher_H_batters_faced_std,away_pitcher_H_batters_faced_skew,away_pitcher_BB_batters_faced_mean,away_pitcher_BB_batters_faced_std,away_pitcher_BB_batters_faced_skew,away_pitcher_leverage_index_avg_mean,away_pitcher_leverage_index_avg_std,away_pitcher_leverage_index_avg_skew,away_pitcher_wpa_def_mean,away_pitcher_wpa_def_std,away_pitcher_wpa_def_skew,predicted_probability,predicted_label
707,KFH,SAJ,2016/4/3,False,False,middlke01,carraca01,,,,,0.0,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,TBR_2016,TOR_2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5552941199599228,1
2635,JBM,KJP,2016/4/3,True,False,taillja01,verlaju01,,,,,0.0,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,KCR_2016,NYM_2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5552941199599228,1
147,XFB,GKO,2016/4/4,True,False,rodriya01,,,,,,0.0,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ARI_2016,COL_2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5552941199599228,1
1724,QDH,PJT,2016/4/4,True,False,willitr01,grayjo02,,,,,0.0,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK_2016,CHW_2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5552941199599228,1
2429,JBM,KJP,2016/4/5,False,False,phillev01,oswalco01,2.0,2.0,,,0.0,2016.0,,0.72911388,-0.941295462,-1.62492778,-0.2949634,-1.081122865,,-1.636904842,4.146025082,-1.179400786,-1.097114994,0.124917235,,3.898384826,-0.724855605,-3.775851389,2.11566122,-1.163881841,,,,,,,,,KCR_2016,NYM_2016,-3.495306739,-4.94663563,,2.688560998,-5.014323913,,0.907160942,-6.174300636,,,-6.204926518,,4.364128398,-8.552904766,,-4.34797295,-8.468543056,,3.247272659,,,1.163089669,,,-1.374285357,,,-2.885122109,,,0.910862401,,,-0.395399958,,,-1.586004527,,,1.175209347,,,-2.423748756,,,7.557964533,,,-5.852763932,,,-1.819868129,,,-1.648242026,,,0.120244826,,,-2.120718598,,,5.651453979,,,7.526096465,,,5.70117635,,,-1.087019927,,,-5.172470996,,,3.402608073,,,-1.838950798,,,-2.89372923,,,-0.887514819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5395767283587077,1
2454,DPS,RKN,2016/4/5,True,False,couloda01,rouppla01,1.0,1.0,,,0.0,2016.0,,-2.458008912,-5.161324604,2.103178847,-1.182511111,-3.80133251,-2.490740692,-1.718197347,1.946592864,-2.065656906,-1.923567399,2.744487733,-3.779879391,0.327351638,-2.579266035,1.842546789,-7.035782756,5.197690729,,,,,,,,,TEX_2016,SEA_2016,2.692677538,-4.94663563,,8.894476094,-5.014323913,,0.907160942,-6.174300636,,-0.914375543,-6.204926518,,4.364128398,-8.552904766,,-4.34797295,,,-11.12201203,,,-3.886214943,,,-7.926775304,,,3.599792165,,,0.166368832,,,,,,-5.956502347,,,-3.906942401,,,-2.551481748,,,3.538429214,,,-6.640112031,,,-3.246997307,,,-2.979197131,,,3.655710486,,,-5.831671106,,,0.371503262,,,3.517918807,,,6.469784887,,,-3.941937083,,,2.513410331,,,-10.84890087,,,7.384740981,,,3.628754021,,,-0.166653968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5311193026775767,1
90,FBW,RLJ,2016/4/6,True,True,detmere01,cabrege01,1.0,1.0,,,0.0,2016.0,-2.801512889,-2.653138879,-3.781924497,0.998554661,-2.070058823,1.845684981,2.699273581,1.916738926,-0.321571611,0.593111454,,-1.138063436,1.436898716,3.119458581,-1.857194717,5.559983177,-2.76893996,0.214691907,,,,,,,,,CLE_2016,,2.692677538,-4.94663563,,-3.517354098,-5.014323913,,-3.691858162,-6.174300636,,3.612709855,-6.204926518,,-4.381710582,-8.552904766,,4.324645264,-8.468543056,,-4.34714016,,,,,,,,,1.678336084,,,-4.222224839,,,-3.216949088,,,3.116429836,,,4.390448207,,,3.160007755,,,-0.606716583,,,2.40081614,,,1.034390228,,,2.344623288,,,-1.584318879,,,2.459560846,,,4.499772668,,,-0.615514403,,,-2.369213287,,,-2.830287925,,,7.598805495,,,-4.204162793,,,0.159853618,,,1.696166391,,,4.069984366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25954078154372534,0
392,GUT,GLO,2016/4/6,False,False,strahma01,nunezda01,1.0,1.0,,,0.0,2016.0,0.060120403,-0.896969177,0.379655488,3.760115126,2.367679733,1.707952847,1.174706888,2.230295729,0.709412241,3.251879814,1.836791043,-2.78692501,1.418216343,0.157052917,1.203403028,-0.278816368,0.034396369,,,,,,,,,,MIA_2016,DET_2016,8.880661814,-4.94663563,,2.688560998,-5.014323913,,-0.9324467,-6.174300636,,0.896458616,-6.204926518,,-4.381710582,-8.552904766,,4.324645264,-8.468543056,,0.187653106,,,-1.413086154,,,0.676771053,,,6.481976287,,,0.479839808,,,3.836923738,,,2.895138807,,,1.953089716,,,,,,1.277440597,,,7.28780434,,,5.315777763,,,3.076648595,,,-3.809681196,,,2.42986821,,,0.119708106,,,1.263318874,,,-7.113383221,,,1.881588621,,,-0.388581474,,,0.161462226,,,-1.471854035,,,6.527635466,,,-0.482821008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5472094336809994,1
461,RKN,QDH,2016/4/8,True,False,wrighda04,logueza01,2.0,1.0,,,0.0,2016.0,1.036983173,1.878212574,2.608516678,1.64291877,2.367679733,-1.149988932,-1.35542507,-2.049173972,2.822929138,-1.622528846,-1.339541033,1.990156902,-3.075612139,2.089217711,-0.626391334,-1.187551101,0.234750557,-1.511991519,,,,,,,,,SEA_2016,OAK_2016,2.692677538,,-2.921311019,2.688560998,1.627015066,-2.938427055,3.35997113,-0.808578983,-0.329373382,-1.367084083,-3.013884643,-1.594227561,1.448848738,-0.212782208,,-2.179818397,,2.594096131,1.735674904,4.746011276,-3.514228108,2.98358725,3.670066182,-3.33433274,4.1375506,3.165251571,-5.450719657,2.799185465,-1.295331883,-3.303025787,2.173453834,5.687172422,-2.18535296,3.836923738,2.685327456,-5.473019624,-1.696650042,-1.610197109,-3.467949917,-2.091888205,-3.222012096,-4.329959228,-3.071537502,-2.469058623,-4.87769705,5.139962818,1.143568915,-3.070981813,-3.908149877,-1.747186552,0.328968824,-2.533432718,-3.374889889,-1.939468769,,-2.056141566,0.804049637,2.637638725,-5.460273651,0.973951552,-4.712351284,2.716178868,-4.948124786,2.976510146,1.966779593,-2.779634553,1.931348484,-4.210416455,-5.918860935,-0.010380191,-3.186473992,0.679497609,-0.935431405,-1.379176325,-2.169064885,-1.631716456,-4.375077589,4.086378339,0.473473042,-2.394423348,-0.175366051,-2.343677632,-0.870126114,3.522767018,1.575379664,-0.449049712,1.568846685,0.465680112,2.440107777,0.731310441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.694269947331364,1
2124,PDF,BPH,2016/4/8,True,False,povicca01,richaly01,2.0,2.0,,,0.0,2016.0,-1.749948848,-0.555491735,-1.572546359,3.345881056,-2.070058823,-2.68799776,-1.75548867,-2.19821023,1.488377818,-2.065656906,-1.221082855,-0.426584325,-0.514371423,0.201189769,0.459450761,-1.314274365,1.304692178,2.167265084,,,,,,,,,ATL_2016,STL_2016,,-1.661743139,-2.921311019,4.757199364,3.268881103,-2.076695804,-1.39234861,-5.445616217,0.00326703,-2.423404009,-4.378810097,0.944816608,-4.381710582,-8.552904766,,-4.34797295,-8.468543056,,-2.680740225,1.605240992,,-0.872089231,-3.695789831,,-2.354436208,-7.32487458,,5.761430257,-6.239550753,,-4.346307101,-5.800262688,,-3.216949088,-3.164075702,,-4.167733197,-3.567994835,2.576233591,-2.731478731,-1.513138716,-4.418864135,-3.305714654,-2.602289046,4.53224761,2.701026023,1.965086455,-3.50088517,-4.744141609,-6.340277188,-3.704304392,-3.246997307,-2.50657197,1.860314529,-1.847885292,-5.479454442,,,-1.384095087,,-0.641670027,-4.980619309,,0.184966644,-0.678614281,,5.772518739,1.350168822,,-2.223442703,-5.568947575,,0.736253124,-4.501842249,1.391677347,-1.80507191,0.138378445,3.535357418,2.139689064,-5.439298525,0.453644374,,3.288848861,-4.285196622,-0.035110027,1.244284386,3.80083286,-1.920327149,-6.506421273,3.865542097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6319398802861638,1
